Type,Dish,DishPerSample
Дизгруппа,Тиогликолевая среда,0
Дизгруппа,Сывороточный агар,0
Дизгруппа,Коринебак агар,0
Дизгруппа,Агар Шадлера,0
Дизгруппа,Хромогенный агар,0
Дизгруппа,Престон агар,0
Диффициле,Кровяной агар,0
Диффициле,Шоколадный агар,0
Диффициле,Эндо,0
Диффициле,Сабуро,0
Диффициле,ЖСА,0
Диффициле,Уриселект,0
Диффициле,Энтерокккагар,0
Диффициле,XLD-агар,0
Диффициле,SS-агар,0
Диффициле,Тиогликолевая среда,0
Диффициле,Сывороточный агар,0
Диффициле,Коринебак агар,0
Диффициле,Агар Шадлера,0
Диффициле,Хромогенный агар,0
Диффициле,Престон агар,"0,5"
